City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Batsfjord,NO,2021-03-05 00:28:59,70.6345,29.7185,17.6,73,40,11.5
231,Pevek,RU,2021-03-05 00:29:01,69.7008,170.3133,-0.15,93,100,4.32
232,Imbituba,BR,2021-03-05 00:27:31,-28.24,-48.6703,75.2,94,75,11.5
233,Maldonado,UY,2021-03-05 00:29:03,-34.6667,-54.9167,72.0,94,40,3.44
234,Caucaia,BR,2021-03-05 00:29:04,-3.7361,-38.6531,84.0,83,75,9.22
235,Marzuq,YE,2021-03-05 00:29:06,14.4,46.4667,58.59,45,0,4.09
236,Ampanihy,MG,2021-03-05 00:29:08,-24.7,44.75,71.28,96,2,3.87
237,Kununurra,AU,2021-03-05 00:25:53,-15.7667,128.7333,84.2,47,35,3.44
238,Bloemfontein,ZA,2021-03-05 00:29:10,-29.1211,26.214,62.6,72,72,5.53
239,Camacupa,AO,2021-03-05 00:29:11,-12.0167,17.4833,59.95,96,94,2.95
240,Dzaoudzi,YT,2021-03-05 00:29:12,-12.7887,45.2699,82.4,78,90,14.97
241,Ndele,CF,2021-03-05 00:29:12,8.4109,20.6473,73.69,20,1,5.59
242,Arraial Do Cabo,BR,2021-03-05 00:29:14,-22.9661,-42.0278,78.8,78,40,13.8
243,Fare,PF,2021-03-05 00:29:14,-16.7,-151.0167,81.27,75,92,3.58
244,High Level,CA,2021-03-05 00:29:16,58.5169,-117.136,26.6,74,90,8.72
245,Ostrovnoy,RU,2021-03-05 00:26:12,68.0531,39.5131,12.33,94,100,7.9
246,Elliot,ZA,2021-03-05 00:29:17,-31.3333,27.85,60.1,93,94,2.26
247,Kungurtug,RU,2021-03-05 00:29:18,50.5994,97.5228,-3.33,81,0,2.91
248,Kachiry,KZ,2021-03-05 00:29:19,53.0675,76.1036,27.09,95,100,17.27
249,Modasa,IN,2021-03-05 00:29:21,23.4667,73.3,71.15,28,0,7.87
250,Torbay,CA,2021-03-05 00:29:18,47.6666,-52.7314,30.0,86,1,13.8
251,Adrar,MR,2021-03-05 00:29:23,20.5022,-10.0711,69.96,19,100,9.31
252,Araouane,ML,2021-03-05 00:29:23,18.9048,-3.5265,74.77,17,92,11.05
253,Bonfim,BR,2021-03-05 00:29:24,3.0833,-59.95,83.59,57,74,10.63
254,Chenzhou,CN,2021-03-05 00:29:25,25.8,113.0333,62.46,86,54,3.51
255,Kamina,CD,2021-03-05 00:29:26,-8.7386,24.9906,64.65,96,93,0.69
256,Monrovia,LR,2021-03-05 00:26:42,6.3005,-10.7969,77.0,94,40,5.86
257,Isangel,VU,2021-03-05 00:28:04,-19.55,169.2667,86.0,79,75,11.5
258,Mari-Turek,RU,2021-03-05 00:29:28,56.7895,49.6235,9.75,95,61,8.79
259,Edea,CM,2021-03-05 00:29:29,3.8,10.1333,80.6,100,40,1.19
260,Saltabarranca,MX,2021-03-05 00:29:31,18.6,-95.5333,74.12,84,92,10.13
261,Clyde River,CA,2021-03-05 00:29:32,70.4692,-68.5914,-25.6,75,1,11.5
262,Gat,IL,2021-03-05 00:29:34,31.61,34.7642,51.01,100,7,1.01
263,Ust-Nera,RU,2021-03-05 00:29:35,64.5667,143.2,-26.43,74,100,6.13
264,Itaituba,BR,2021-03-05 00:29:37,-4.2761,-55.9836,84.2,79,20,1.43
265,Puerto Escondido,MX,2021-03-05 00:29:38,15.85,-97.0667,82.4,78,20,8.05
266,Wattegama,LK,2021-03-05 00:29:40,6.7989,81.4808,71.6,100,34,3.44
267,Mikuni,JP,2021-03-05 00:29:42,36.2171,136.1519,50.0,76,90,3.44
268,Wainwright,CA,2021-03-05 00:29:44,52.839,-110.8572,37.4,86,51,8.05
269,Flinders,AU,2021-03-05 00:29:44,-34.5833,150.8552,72.0,65,9,8.99
270,Shache,CN,2021-03-05 00:29:46,38.4167,77.2406,41.32,58,19,5.48
271,Jodhpur,IN,2021-03-05 00:24:58,26.2867,73.03,60.01,30,8,3.49
272,Alofi,NU,2021-03-05 00:29:47,-19.0595,-169.9187,84.2,79,75,6.91
273,Beringovskiy,RU,2021-03-05 00:29:49,63.05,179.3167,-0.71,82,65,14.5
274,Bull Savanna,JM,2021-03-05 00:29:51,17.8868,-77.5902,73.65,79,56,1.86
275,Coihaique,CL,2021-03-05 00:29:51,-45.5752,-72.0662,66.2,55,0,4.61
276,Richards Bay,ZA,2021-03-05 00:29:51,-28.783,32.0377,68.56,82,0,5.28
277,Bisho,ZA,2021-03-05 00:29:53,-32.8472,27.4422,63.59,95,95,5.82
278,Segezha,RU,2021-03-05 00:29:54,63.7415,34.3222,5.29,93,26,5.55
279,Cockburn Town,TC,2021-03-05 00:29:55,21.4612,-71.1419,77.0,78,20,5.75
280,Dhandhuka,IN,2021-03-05 00:26:16,22.3667,71.9833,72.43,49,1,9.13
281,Hurricane,US,2021-03-05 00:29:19,37.1753,-113.2899,62.6,35,1,9.22
282,La Tuque,CA,2021-03-05 00:29:57,47.4334,-72.7824,8.6,72,100,9.22
283,Caramay,PH,2021-03-05 00:29:58,10.1815,119.236,80.22,80,3,8.55
284,Antalaha,MG,2021-03-05 00:29:59,-14.9003,50.2788,75.74,88,95,3.89
285,Durango,MX,2021-03-05 00:27:31,24.8333,-104.8333,76.14,18,52,18.86
286,Vao,NC,2021-03-05 00:30:00,-22.6667,167.4833,77.52,75,100,8.61
287,Lorengau,PG,2021-03-05 00:30:01,-2.0226,147.2712,84.18,75,49,10.74
288,Ambilobe,MG,2021-03-05 00:30:05,-13.2,49.05,75.06,91,100,1.68
289,Baruun-Urt,MN,2021-03-05 00:30:07,46.6806,113.2792,-4.18,90,40,2.46
290,Porto Novo,BJ,2021-03-05 00:30:07,6.4965,2.6036,84.2,84,40,16.11
291,Mozarlandia,BR,2021-03-05 00:30:08,-14.7447,-50.5706,72.75,89,98,2.06
292,Valle De Allende,MX,2021-03-05 00:30:10,26.9333,-105.4,72.34,22,100,12.84
